id,leaf_length_cm,leaf_width_cm,color_score,species,tree_type
1,7.017,2.897,0.495,Birch,Deciduous
2,6.653,2.546,0.402,Spruce,Coniferous
3,3.892,2.61,0.409,Spruce,Coniferous
4,4.155,2.674,0.355,Pine,Coniferous
5,10.425,3.041,0.672,Maple,Deciduous
6,14.104,6.331,0.802,Oak,Deciduous
7,8.365,3.629,0.688,Maple,Deciduous
8,5.347,3.087,0.336,Spruce,Coniferous
9,6.93,1.9,0.338,Cedar,Coniferous
10,7.447,3.25,0.541,Birch,Deciduous
11,4.99,2.787,0.365,Spruce,Coniferous
12,10.2,6.015,0.68,Oak,Deciduous
13,8.556,3.567,0.638,Maple,Deciduous
14,8.109,4.278,0.576,Maple,Deciduous
15,13.394,3.969,0.685,Willow,Deciduous
16,5.816,3.016,0.733,Cherry,Deciduous
17,5.524,2.459,0.399,Pine,Coniferous
18,12.662,3.616,0.601,Willow,Deciduous
19,7.98,3.52,0.53,Birch,Deciduous
20,5.34,2.069,0.361,Pine,Coniferous
21,7.115,4.923,0.591,Maple,Deciduous
22,12.941,2.605,0.682,Willow,Deciduous
23,6.515,2.167,0.383,Pine,Coniferous
24,10.103,4.669,0.61,Maple,Deciduous
25,9.726,5.055,0.645,Poplar,Deciduous
26,8.553,4.435,0.566,Maple,Deciduous
27,9.826,3.953,0.751,Ash,Deciduous
28,11.68,5.265,0.778,Oak,Deciduous
29,10.431,4.26,0.602,Poplar,Deciduous
30,11.004,2.236,0.588,Maple,Deciduous
31,6.678,3.267,0.538,Birch,Deciduous
32,12.772,6.406,0.669,Oak,Deciduous
33,9.303,4.226,0.577,Poplar,Deciduous
34,9.892,4.137,0.664,Poplar,Deciduous
35,6.801,2.786,0.565,Birch,Deciduous
36,7.029,2.194,0.366,Spruce,Coniferous
37,5.287,3.338,0.675,Cherry,Deciduous
38,9.341,4.328,0.764,Ash,Deciduous
39,9.09,3.685,0.548,Poplar,Deciduous
40,6.316,2.258,0.353,Cedar,Coniferous
41,7.213,2.462,0.68,Cherry,Deciduous
42,10.729,5.153,0.7,Ash,Deciduous
43,10.92,6.038,0.723,Oak,Deciduous
44,12.536,5.739,0.794,Oak,Deciduous
45,8.747,5.005,0.648,Maple,Deciduous
46,6.82,2.687,0.7,Cherry,Deciduous
47,6.571,2.505,0.687,Cherry,Deciduous
48,6.842,4.313,0.562,Poplar,Deciduous
49,13.087,2.916,0.743,Willow,Deciduous
50,7.014,2.468,0.377,Spruce,Coniferous
51,11.328,3.012,0.56,Poplar,Deciduous
52,9.119,4.658,0.625,Poplar,Deciduous
53,6.071,2.644,0.323,Spruce,Coniferous
54,7.188,3.92,0.401,Spruce,Coniferous
55,6.037,2.5,0.338,Pine,Coniferous
56,10.11,3.35,0.565,Willow,Deciduous
57,6.378,1.624,0.343,Pine,Coniferous
